level_0,assist_percentage,block_percentage,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,player_id,points_produced,position,steal_percentage,team_abbreviation,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_percentage,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,col_lkup,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,max_mp,year,all_star_flag,class
2011-12,9.4,7.3,9.4,atlantic-10,2.1,25.1,1.7,0.601,385,0.571,220,0.429,0.776,32,32,81,962,7.2,11.1,4,31.6,andrew-nicholson-1,515,Forward,1.3,st-bonaventure,0.138,0.434,18.1,0.638,14.7,0.593,29.5,240,5.8,0.24,Andrew Nicholson,2011,4,Andrew Nicholson st-bonaventure,1.37,2.62,7.73,6.86,5.32,3.45,3.74,24.57,0.87,2.2,0.96,11.19,3.33,13.8,8.19,1249,,0,scrub
2013-14,9.2,3.1,8.3,big-12,2.6,12.3,1.7,0.499,422,0.448,189,0.538,0.775,35,35,80,1148,5.7,8.4,3.2,21.4,andrew-wiggins-1,564,Guard,2.1,kansas,0.299,0.341,10.4,0.563,13.1,0.493,26.3,200,4.9,0.17,Andrew Wiggins,2013,1,Andrew Wiggins kansas,1.88,1.18,4.49,7.91,6.13,2.65,3.28,20.8,1.43,4.39,1.5,7.14,2.79,10.31,5.09,3048,,0,starter
1992-93,,,,great-midwest,,,,0.547,522,0.477,249,0.395,0.767,32,,79,1196,,,,,anfernee-hardaway-1,,Guard,,memphis,0.421,0.332,,0.588,15,0.583,,195,,,Anfernee Hardaway,1992,2,Anfernee Hardaway memphis,6.82,1.3,,6.89,5.28,,2.88,24.38,2.54,7.36,2.44,9.13,3.65,10.1,5.89,3015,1995,1,all_star
1997-98,,,,sec,,,2.9,0.482,397,0.456,181,0.544,0.727,29,,81,,,,2.2,,ansu-sesay-1,,Forward,,mississippi,0.151,0.35,,0.54,,0.475,,225,5.1,,Ansu Sesay,1997,4,Ansu Sesay mississippi,,,,,,,,,,,,,,,,583,,0,scrub
1997-98,,,,acc,,,3,0.584,546,0.579,316,0.505,0.667,37,,81,,,,5.3,,antawn-jamison-1,,Forward,,north-carolina,0.027,0.4,,0.607,,0.584,,222,8.3,,Antawn Jamison,1997,3,Antawn Jamison north-carolina,,,,,,,,,,,,,,,,3394,,0,starter
1990-91,,,,big-east,,,,0.577,395,0.577,228,0.506,0.75,34,34,81,1114,,,,,anthony-avent-1,,Forward,,seton-hall,0,,,0.618,14.6,0.577,,235,,,Anthony Avent,1990,3,Anthony Avent seton-hall,1.9,1.47,,7.18,5.39,,3.66,21.76,1.15,0,0,12.03,3.02,14.18,8.19,2285,,0,starter
2012-13,8.8,4.6,8.6,mwc,2.5,24,2.2,0.58,379,0.533,202,0.467,0.701,35,31,80,950,6.1,10.3,3.5,28.3,anthony-bennett-1,488,Forward,1.5,nevada-las-vegas,0.253,0.375,17.1,0.609,12.3,0.587,27.5,240,5.7,0.238,Anthony Bennett,2012,1,Anthony Bennett nevada-las-vegas,1.43,1.81,8.38,7.45,5.22,3.62,3.37,23.75,1.01,4.04,1.52,12,2.74,11.92,6.99,894,,0,scrub
1989-90,,,,midwestern-collegiate,,,,0.504,508,0.5,254,0.404,0.693,33,,80,,,,,,anthony-bonner-1,,Forward,,saint-louis,0.024,0.333,,0.54,13.2,0.504,,215,,,Anthony Bonner,1989,4,Anthony Bonner saint-louis,,,,,,,,,,,,,,,,2287,,0,starter
1997-98,,,,wac,,,2.1,0.493,422,0.453,191,0.336,0.782,29,,73,,,,2.2,,anthony-carter-1,,Guard,,hawaii,0.261,0.309,,0.538,,0.503,,190,4.3,,Anthony Carter,1997,2,Anthony Carter hawaii,,,,,,,,,,,,,,,,1859,,0,role_player
2011-12,7.5,13.7,17.2,sec,8.1,25.6,4.1,0.628,337,0.623,210,0.602,0.709,40,40,82,1281,9.1,11.6,5.9,35.1,anthony-davis-5,550,Forward,2.5,kentucky,0.059,0.15,19,0.654,8.6,0.653,18.8,220,9.9,0.31,Anthony Davis,2011,1,Anthony Davis kentucky,1.56,5.81,9.24,6.34,4.5,3.72,2.44,17.7,1.69,0.62,0.09,12.96,1.28,9.9,6.46,2455,2014,1,all_star
