,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played,college,lkup,col_lkup
94,6.402,0.97,18.179,0.20937,7.17,1.342,0.04115,12.485,0.44407,15.423,16.963,-6.914,739,-1.8,Adreian Payne,2015,23,1,Michigan State,Adreian Payne Michigan State,Adreian Payne michigan-state
95,8.9,1.8,21.5,0.179,4.8,1.7,0.221,13.3,0.422,18.7,17.7,-6.2,486,-0.5,Adreian Payne,2016,24,2,Michigan State,Adreian Payne Michigan State,Adreian Payne michigan-state
96,8,4.4,21,0.352,7.7,3,0.278,14.3,0.505,11.4,23.1,-2.3,135,0,Adreian Payne,2017,25,3,Michigan State,Adreian Payne Michigan State,Adreian Payne michigan-state
97,0,0,18,0.6,5.1,2.3,0.3,11.5,0.831,13.7,15,2.4,43,0,Adreian Payne,2018,26,4,Michigan State,Adreian Payne Michigan State,Adreian Payne michigan-state
98,13.4,0.6,15.2,0.383,7.2,3.1,0.138,11,0.503,16.2,13,0.6,1927,1.3,Adrian Griffin,2000,25,1,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
99,11.7,1,19.4,0.247,8,2.5,0.268,13.5,0.432,14.3,15.1,-2.4,377,0,Adrian Griffin,2001,26,2,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
100,11.3,0.6,12.7,0.136,5.6,2.8,0.15,9.2,0.545,9.9,13.8,1.3,1383,1.1,Adrian Griffin,2002,27,3,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
101,11,0.3,14.1,0.095,7.1,2.9,0.071,10.6,0.463,11.8,13.2,-0.3,1373,0.6,Adrian Griffin,2003,28,4,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
102,11.6,1.2,15.2,0.222,0.9,2.9,0.111,8.4,0.278,13.2,8.2,-1.9,133,0,Adrian Griffin,2004,29,5,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
103,12.6,0.4,15.7,0.273,8.8,3.3,0.056,12.2,0.419,14.3,14.1,0.6,667,0.4,Adrian Griffin,2005,30,6,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
104,10.8,0.6,14.4,0.26,7.4,2.2,0.01,11,0.521,14.6,10,0.8,1245,0.9,Adrian Griffin,2006,31,7,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
105,15.2,0.5,13.4,0.147,7.9,2.8,0.047,10.6,0.499,21.7,13.3,-0.3,585,0.3,Adrian Griffin,2007,32,8,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
106,13.312,0.512,11.488,0.11924,9.944,2.828,0,10.716,0.40708,20.956,14.484,-3.016,307,-0.2,Adrian Griffin,2008,33,9,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
123,7.9,2.2,24.5,0.317,11.4,1.2,0.007,18,0.539,15.3,16,-1.6,2540,0.3,Al Horford,2008,21,1,Florida,Al Horford Florida,Al Horford florida
124,11.9,3.3,25,0.345,7.6,1.3,0.002,16.3,0.565,13.1,16.4,1.7,2242,2.1,Al Horford,2009,22,2,Florida,Al Horford Florida,Al Horford florida
125,10.4,2.4,23.3,0.319,9.6,1.1,0.001,16.4,0.594,11.2,17.6,2.3,2845,3.1,Al Horford,2010,23,3,Florida,Al Horford Florida,Al Horford florida
126,17.5,2.3,23.7,0.204,8.2,1.2,0.004,16,0.587,10.6,19.7,3.6,2704,3.9,Al Horford,2011,24,4,Florida,Al Horford Florida,Al Horford florida
127,11.7,3.1,17.1,0.291,8.8,1.5,0.01,13,0.585,12.1,17.9,3.4,348,0.5,Al Horford,2012,25,5,Florida,Al Horford Florida,Al Horford florida
128,15.3,2.2,23,0.196,8.2,1.5,0.006,15.7,0.56,11.3,21.8,1.9,2756,2.7,Al Horford,2013,26,6,Florida,Al Horford Florida,Al Horford florida
129,15.2,3.6,21.4,0.202,8,1.4,0.026,14.8,0.588,12.3,24.7,3,958,1.2,Al Horford,2014,27,7,Florida,Al Horford Florida,Al Horford florida
130,18.6,3.5,19.8,0.146,6.7,1.5,0.037,13.4,0.563,8.9,22.2,4.1,2318,3.6,Al Horford,2015,28,8,Florida,Al Horford Florida,Al Horford florida
131,16.7,3.6,18.2,0.123,6.3,1.3,0.244,12.4,0.565,8.8,20.6,3.8,2631,3.9,Al Horford,2016,29,9,Florida,Al Horford Florida,Al Horford florida
132,24.4,3.2,18.6,0.169,4.9,1.2,0.302,11.8,0.553,11.8,19.7,3.4,2193,3,Al Horford,2017,30,10,Florida,Al Horford Florida,Al Horford florida
133,23.6,2.9,20.2,0.159,5,0.9,0.3,12.7,0.575,14.1,18.4,4.4,2277,3.7,Al Horford,2018,31,11,Florida,Al Horford Florida,Al Horford florida
134,21.2,3.9,18.3,0.131,6.5,1.4,0.281,12.4,0.605,11.8,18.9,5.1,1973,3.6,Al Horford,2019,32,12,Florida,Al Horford Florida,Al Horford florida
149,8.4,1.5,14,0.331,5.2,1.1,0.149,9.6,0.504,11.4,24.1,-3.4,2158,-0.8,Al Thornton,2008,24,1,Florida State,Al Thornton Florida State,Al Thornton florida-state
150,6.9,1.7,11,0.298,5.2,1.2,0.075,8,0.502,9.9,22.6,-4.1,2654,-1.4,Al Thornton,2009,25,2,Florida State,Al Thornton Florida State,Al Thornton florida-state
151,7.168,1.296,9.988,0.31192,6.424,1.124,0.04568,8.156,0.52312,11.68,18.964,-3.188,2079,-1.2,Al Thornton,2010,26,3,Florida State,Al Thornton Florida State,Al Thornton florida-state
152,7.148,0.623,13.396,0.3293,4.424,1.254,0.06082,8.76,0.53052,11.374,17.829,-3.344,1383,-1,Al Thornton,2011,27,4,Florida State,Al Thornton Florida State,Al Thornton florida-state
153,6.4,1.3,15.4,0.293,6.1,2.1,0.352,10.8,0.499,18.3,17.3,-2.8,1452,-0.3,Al-Farouq Aminu,2011,20,1,Wake Forest,Al-Farouq Aminu Wake Forest,Al-Farouq Aminu wake-forest
154,7.2,1.9,16.9,0.312,7.8,2.2,0.129,12.4,0.481,18,16.2,-2.2,1477,-0.1,Al-Farouq Aminu,2012,21,2,Wake Forest,Al-Farouq Aminu Wake Forest,Al-Farouq Aminu wake-forest
155,7.8,2.1,26.2,0.289,7.9,2.4,0.04,16.9,0.519,17.8,14.6,-0.1,2066,1,Al-Farouq Aminu,2013,22,3,Wake Forest,Al-Farouq Aminu Wake Forest,Al-Farouq Aminu wake-forest
156,8.4,1.6,21.2,0.277,7.2,2.1,0.097,14.1,0.516,13.7,14.3,-0.6,2045,0.7,Al-Farouq Aminu,2014,23,4,Wake Forest,Al-Farouq Aminu Wake Forest,Al-Farouq Aminu wake-forest
157,6.1,3.7,18.4,0.331,9.1,2.6,0.347,13.7,0.504,11.9,15.2,0.7,1366,1,Al-Farouq Aminu,2015,24,5,Wake Forest,Al-Farouq Aminu Wake Forest,Al-Farouq Aminu wake-forest
158,8.8,1.8,18.6,0.217,4.5,1.5,0.485,11.5,0.533,13.2,16.9,0.1,2341,1.2,Al-Farouq Aminu,2016,25,6,Wake Forest,Al-Farouq Aminu Wake Forest,Al-Farouq Aminu wake-forest
159,7.9,2,23.5,0.292,4.8,1.7,0.455,14.1,0.506,15.2,15.4,-1.1,1773,0.4,Al-Farouq Aminu,2017,26,7,Wake Forest,Al-Farouq Aminu Wake Forest,Al-Farouq Aminu wake-forest
160,5.8,1.6,22.3,0.137,5.2,1.9,0.582,13.8,0.522,11.3,14.8,0.4,2072,1.3,Al-Farouq Aminu,2018,27,8,Wake Forest,Al-Farouq Aminu Wake Forest,Al-Farouq Aminu wake-forest
